name,symbol,id,percentageChangeMtdUsd,percentageChangeYtdUsd,athTimestamp,percentageDownFromAth,breakevenMultiple,cycleLowTimestamp,percentageUpFromCycleLow,volatility30d,volatility90d,circulatingSupply,priceUsd,currentMarketcap
EOS,EOS,2e9a4c5d-7966-47c4-aebd-cdbc1ecf9d2e,-11.83062813,30.94347013,1524985200.0,84.6236856,6.503509059,1544205600.0,123.0095979,1.297241872,2.317582132,950899890.9,3.465854859,3294886696.0
Aave,AAVE,0472643b-1c7a-47a2-a45e-ec1e3e1269cd,8.995348493,176.3284213,1621332000.0,61.85817864,2.621794042,1624366800.0,43.36458304,1.392740875,1.820343613,12842198.59,249.7685366,3200958869.0
Unus Sed Leo,LEO,28681c70-d3a1-4139-942e-c4bdcc49ad64,21.67842204,109.7257705,1620993600.0,25.27988338,1.338327676,1622145600.0,42.94060828,0.940225637,1.17385528,953954130.0,2.930023294,2795368832.0
Crypto.com Chain,CRO,de533c50-6a57-4975-bb83-62862fb9af09,-3.893017273,80.86336389,1623729600.0,76.91818487,4.332414909,1624366800.0,32.04641926,1.065950454,2.174348421,25263013692.0,0.107629942,2716967744.0
Terra,LUNA,86da9b7d-922b-4abb-8599-e75c6fa5a138,8.531864501,884.4843143,1616324400.0,71.10387372,3.460671476,1621810800.0,56.56593473,1.44855656,2.194719753,419318334.4,6.378205996,2670080417.0
FTX Token,FTT,78831942-1c36-4238-87c0-ee5cf5a6d895,4.635091453,371.7344741,1620788400.0,56.39182676,2.293148109,1624712400.0,24.27693332,1.123069545,1.319531134,94346957.52,27.35758782,2580149591.0
Shiba Inu,SHIB,8c4f84a7-6484-4074-8c17-fe363a243e7f,-23.07986621,-9.715428001,1624960800.0,32.86914871,1.489628063,1626771600.0,11.42712203,1.10815006,1.388695404,395000000000000.0,6.35e-06,2497101126.0
PancakeSwap,CAKE,147192a4-adcc-4211-be3a-f346241e83b4,-1.831059862,2084.596309,1619773200.0,71.28805238,3.482870661,1621785600.0,24.92318843,1.288337696,1.904686948,197889387.6,12.53341471,2480148307.0
Coin,COIN,2ca989fb-f2fa-4991-be02-b64fd562d3df,-10.43386026,-31.72083467,1619910000.0,29.22372949,1.41290293,1621760400.0,3.483801503,0.26941427,0.705765094,11800844.76,209.18961,2468614113.0
Maker,MKR,4758c080-821e-4a19-bbae-4df59682d229,-3.774150678,314.0865764,1620075600.0,61.36990216,2.588655105,1624694400.0,25.97876422,1.255850091,1.803338878,991328.382,2381.027653,2360173470.0
Algorand,ALGO,4fb0d41e-df35-4808-8222-b8077835c976,-10.24838075,87.63369964,1561154400.0,76.91912957,4.332592236,1584061200.0,564.9634801,1.050072459,1.469962895,3126818356.0,0.749239817,2340786052.0
Bitcoin SV,BSV,ecef109b-64d3-4f3d-9789-e901ef7bacfb,-15.82938977,-25.07667355,1618592400.0,72.63404773,3.65417578,1624366800.0,12.00600445,1.092027597,1.659949162,18792347.54,122.5939995,2302924498.0
Klaytn,KLAY,36622d7a-5467-4d82-95e2-7323f6e4fe89,-4.939017887,-24.90584349,1623801600.0,26.76880735,1.365538323,1624366800.0,26.5350526,1.331249604,1.413634923,2487655293.0,0.91869601,2281337990.0
Cosmos,ATOM,3385649f-7e22-4260-9995-309f05650e47,-8.256760715,72.41807875,1620453600.0,66.7423727,3.006829053,1624366800.0,26.38845387,1.430289244,1.807490857,218442127.0,10.24489784,2233666091.0
MIR COIN,MIR,50dfc5f2-319c-4090-a4fd-5e209b2e1347,-28.18506899,44036.28473,1615374000.0,62.35237746,2.656210226,1626775200.0,9.189624332,0.691913986,1.135564683,780627480.5,2.711166435,2120625415.0
Fei Protocol,FEI,b7668d54-6957-4d25-be17-0fafbbf533a2,-0.371511733,3.004744114,1621882800.0,3.14128875,1.03243166,1624312800.0,2.850841828,0.142946215,0.39262678,2041429433.0,0.998434582,2038233743.0
TerraUSD,UST,ad4b5281-c36c-4c1f-9d79-1d5d60566d97,0.127787413,-2.012522598,1622862000.0,6.189322974,1.065976743,1624370400.0,2.255269922,0.080954489,0.201054664,2012693231.0,0.998885662,2010450411.0
Tezos,XTZ,6d667f96-24f2-420b-9a22-73f5cd594bcf,-20.40610127,16.56011748,1620349200.0,71.54103267,3.513830943,1626825600.0,11.01144265,1.148550458,1.671931646,853225804.1,2.345885078,2000771980.0
Compound,COMP,157f4fe3-6046-4b6d-bceb-a2af8ca021b5,11.56025215,154.1310254,1620781200.0,59.0262898,2.440589332,1624363200.0,84.28194684,1.751685074,1.811640994,5363912.459,367.3397953,1966565513.0
NEO,NEO,0f44ae9f-7b1b-4136-94c9-5e649a3eb090,-18.8773293,91.07862431,1516042800.0,85.50783983,6.900282553,1584061200.0,498.8671536,1.324506324,1.77480387,70538831.0,27.67943569,1953400680.0
Avalanche,AVAX,2db6b38a-681a-4514-9d67-691e319597ee,-7.168870259,183.0985776,1612990800.0,82.18125221,5.612066637,1626771600.0,11.1492669,1.163705086,1.711808649,172418164.0,10.43844544,1798061122.0
Amp,AMP,ba42a5e9-b086-4b61-a062-eb2e924ae159,-24.76909113,675.6251602,1623902400.0,64.52998817,2.819282961,1626750000.0,14.36972673,1.2654285,1.921397124,42227702186.0,0.042393348,1790173692.0
IOTA,MIOTA,f487b3d1-b79a-4c34-a7f1-09e2a92171f1,-20.39038796,115.5032823,1513713600.0,88.85323421,8.97121209,1584356400.0,568.7687589,1.219827689,1.729034051,2779530283.0,0.62589145,1740227899.0
The Graph,GRT,fcb726c7-364f-4252-8ee8-70b0bbbd8791,2.487642063,51.69490557,1613134800.0,79.89178147,4.97309097,1624366800.0,24.70484427,1.515328844,1.823383823,2897903422.0,0.546359194,1583733555.0
Hedera Hashgraph,HBAR,17b91b7d-e10b-43be-b046-c170aecd0783,-21.93655903,400.7988993,1615773600.0,63.15890554,2.714360186,1624363200.0,16.13476146,1.083232533,1.829313652,8950827385.0,0.165398953,1480208951.0
Theta Fuel,TFUEL,dbdddea1-b187-4313-a8f6-a388c9a4f5f3,-28.86829452,702.8492378,1623225600.0,59.47405913,2.467555295,1626771600.0,19.94161903,1.214727813,1.854074634,5301214400.0,0.274411303,1459731721.0
Elrond,EGLD,67045600-171b-4417-b9e3-db2c5a950dc9,-11.0,159.0,1618189200.0,69.41985257,3.270095418,1624366800.0,35.58888611,1.298795916,1.488861678,19151101.47,74.47516876,1425046895.0
Huobi Token,HT,2c0fc0e2-def8-4666-b542-c68378230551,-19.94344721,60.85427675,1620853200.0,78.90357602,4.740139849,1626771600.0,11.80144601,1.079183719,1.581263959,170704593.3,8.345276276,1424569229.0
Dash,DASH,e6702473-8eb4-4188-ba5b-338bf8b2398f,0.376060262,57.30477974,1513778400.0,90.98135068,11.08813487,1584061200.0,271.3783581,1.279754952,1.719463033,10244265.23,139.0868087,1423279985.0
Decred,DCR,7935e06f-c5e4-42d8-b8c9-a81ae232d439,-20.63707501,160.3489622,1618617600.0,56.3285219,2.28982403,1624366800.0,22.45424095,1.26321522,1.440052789,13137519.97,107.9416819,1418546585.0
Kusama,KSM,3bc6145b-1433-418c-98fb-d3f692bc218b,-16.40712568,138.3033858,1621310400.0,73.33358954,3.750036029,1626771600.0,16.23712882,1.815988246,2.087758684,8470098.057,165.3099801,1400592149.0
BitTorrent,BTT,03ae15e1-4a96-4ba4-9758-e27a85c52cb9,-22.492769,595.4493539,1617591600.0,84.27218967,6.358164164,1624366800.0,12.05374773,1.344551226,1.530265152,660000000000.0,0.002042663,1348199579.0
Waves,WAVES,dbe8c8a3-be7f-406d-88c4-f37c384ae4a8,-21.03366887,108.7834374,1620108000.0,68.69721126,3.194603549,1624366800.0,7.680420025,1.105022302,2.078570307,105683740.0,12.48341509,1318328445.0
Chiliz,CHZ,a0926f68-b1f7-4839-8536-d6276fa374ff,-9.078280703,950.9212031,1615618800.0,74.98807916,3.998093575,1621785600.0,21.54925261,1.233342853,1.72923402,5893953727.0,0.218051048,1284449035.0
TrueUSD,TUSD,393807bc-0f39-44ea-80d2-580e770dca10,0.013495115,0.034656699,1526464800.0,23.8418717,1.31305748,1621429200.0,2.518225805,0.017622021,0.031483991,1259845881.0,1.000117277,1260147443.0
Celsius Network,CEL,bbd3642f-0ea0-4add-b9e8-8308389632c8,-12.27547106,-5.09281463,1622761200.0,34.54027954,1.527656997,1626789600.0,14.01016805,1.06683075,0.967194794,238863519.8,5.163444158,1234063485.0
NEM,XEM,83e4940c-70ba-4a6e-856b-686b6f9c487e,4.556133785,-39.8087287,1515031200.0,93.47630682,15.32874052,1584061200.0,381.4282714,1.591391964,1.677031278,8999999999.0,0.134695206,1211832793.0
Axie Infinity,AXS,52b9da0d-1cb2-4de2-bcf2-1b43cbb584c6,228.4852581,3078.367171,1626336000.0,34.00089428,1.515172045,1626771600.0,33.00917081,2.807046771,2.362684011,60907500.0,18.93570031,1154983388.0
Stacks,STX,05f57ce5-01a4-41b5-a3b8-fdc69a8022e1,14.60570575,107.8381731,1618441200.0,66.83141917,3.014901376,1624366800.0,75.53046094,1.856186097,1.612527451,1183297778.0,0.883994985,1045571070.0
yearn.finance,YFI,75af0d92-7ec7-4279-bd5b-05eafa1090bf,-10.80622587,30.25743202,1620777600.0,68.5499785,3.179648065,1626771600.0,14.17979746,1.069967469,1.950042167,36635.43983,28209.40401,1034326208.0
Zcash,ZEC,9034399e-e229-48ca-8ff3-5ea5fc599080,-23.84899346,61.35037778,1477713600.0,98.98009416,98.04826711,1584061200.0,344.2895078,1.226761689,1.76717015,10914516.75,91.63700722,999313128.6
Helium,HNT,d0f37f80-8e59-4b92-b9d1-a818a43e8c8b,-18.94991176,665.1904521,1622224800.0,50.06209296,2.002486807,1624366800.0,16.33377724,1.111961294,1.493606725,91179720.06,10.39246319,946965750.7
THORChain,RUNE,c3ef2d57-b7e2-4b13-b9a5-bf873fea8113,-33.97324249,215.0636782,1621382400.0,80.31111522,5.079007833,1626771600.0,32.76102167,1.749937482,2.238668703,234138293.2,4.039009917,944063238.1
Decentraland,MANA,0844705f-10ed-42ca-b483-914b7d59e351,0.419624368,562.0592536,1620399600.0,65.33259053,2.884553577,1624366800.0,45.56725309,1.73309456,1.85298736,1690674845.0,0.552468833,933344674.9
Synthetix,SNX,54d246b7-f554-4386-97da-907a03c1a812,16.6488001,-4.274802552,1613264400.0,71.60865077,3.522199639,1624712400.0,42.47402154,1.871424878,1.832133751,114841533.0,7.966613445,913751538.3
Paxos Standard Token,PAX,ad1342eb-a5fe-4c60-b37e-71a8859f0fea,0.057894834,0.080206754,1539586800.0,5.210470866,1.054968844,1621429200.0,6.408382679,0.052207773,0.239609055,896854920.6,1.000308249,897325624.0
Enjin Coin,ENJ,39268841-e3d8-40b3-8c30-6d6d5bb19bf4,-7.095401758,680.1731242,1617969600.0,73.17970334,3.728519534,1624366800.0,34.75334266,1.637201054,2.188783424,834331121.4,1.049877258,875303472.0
Quant Network,QNT,f086ee5f-e8c6-42ae-9c65-e2cb33879196,8.93844276,569.0551924,1615968000.0,36.58931676,1.57702133,1621785600.0,172.0276647,1.679111006,1.887503806,12072738.0,72.27425145,873566507.3
SushiSwap,SUSHI,15571a03-2262-4c7c-9890-7fa03dfdf406,-7.645439526,105.1665205,1615672800.0,70.6356649,3.405491719,1626771600.0,13.06910194,1.448825182,2.04165804,127244443.0,6.802554299,863201489.7
XinFin Network,XDCE,39b71592-9e16-4198-8ca5-3b19a3f41dd3,-19.79508414,1353.666361,1618495200.0,48.21381711,1.931017009,1621663200.0,65.74136505,1.865306732,1.786290031,12281793969.0,0.068897103,846180018.0
Nexo,NEXO,4578ae99-50bd-4a47-993e-d5967d61b8b3,7.377100078,150.6821806,1620788400.0,64.23413037,2.795961654,1624366800.0,33.52845875,1.336739948,1.805880429,560000011.0,1.451000215,812560136.6
Holo,HOT,b7bbec1a-22c9-4ea1-911e-b5859776c3bf,-20.01584227,590.9296088,1617634800.0,84.87649411,6.612223429,1626825600.0,6.97703976,0.987410889,1.675758506,173000000000.0,0.004680537,807558047.8
KuCoin,KCS,1fce860d-923c-4ce3-8701-a81c75d87ec2,18.44937107,1256.471261,1618207200.0,51.19551131,2.048991859,1621785600.0,100.1304867,2.586215508,2.159731445,80118638.0,9.335968984,747985119.4
NEAR Protocol,NEAR,5416e814-8023-4f66-aadb-a063afca2414,-15.94464378,28.18367056,1615654800.0,76.74241148,4.299671909,1626771600.0,12.18447019,1.157700438,1.577489533,415695850.0,1.758714633,730973381.2
Basic Attention Token,BAT,4db01dd4-686b-4bdc-a143-06b616101b39,-16.33598087,137.6473474,1617991200.0,70.43205912,3.382041395,1624366800.0,11.73269425,1.09245921,1.628444591,1488718839.0,0.485611032,722599295.2
Flow,FLOW,cd9795cb-0469-4e53-a26b-f508772cb898,52.4403813,95.02175815,1617627600.0,66.02430457,2.943280446,1624366800.0,124.9051439,2.250601991,1.756928532,50946679.0,14.0109404,713566301.9
Telcoin,TEL,4a994158-6b38-4b67-8435-20b794e94c10,-46.83212038,7874.691448,1620694800.0,80.51170678,5.131285684,1626829200.0,36.88071316,1.887307745,2.99058694,54157110195.0,0.012755309,690790669.5
WhiteCoin,XWC,edb31506-0dff-4aa0-8a76-bc114d224aba,-3.238255703,309.7355379,1614934800.0,64.73317267,2.835525835,1626336000.0,14.90134177,0.998073843,1.200087878,732798689.0,0.911851582,667975010.3
Zilliqa,ZIL,007fe708-6ace-499b-a999-dcaa45e0eaf5,-29.67634385,-26.96390406,1620302400.0,76.77771806,4.306209022,1626771600.0,13.11678676,1.310125193,1.928989506,11506237121.0,0.057705063,663585214.4
Bitcoin Gold,BTG,d0e14c70-c724-4832-bcae-876be4dc7de5,-25.19382114,342.237695,1510455600.0,92.3303464,13.0383985,1584061200.0,738.7499699,3.112867562,2.953654563,17513923.59,37.32515421,653229545.2
OKB,OKB,a2c56dda-f408-4905-b8c0-0acc1ea29616,3.822486235,17.60997522,1620000000.0,75.39771806,4.064663605,1624366800.0,24.1532567,1.0629134,2.120909132,60000000.0,10.83663977,650207371.9
Bancor,BNT,ed46f10c-9a32-42dd-9fb1-1ac2cad2d85e,-12.02312062,115.3999352,1515556800.0,73.83816196,3.822361405,1584061200.0,2137.262143,0.907089447,1.298696514,232936147.9,2.782567211,647904177.7
Harmony,ONE,3d6a1f69-2e25-4c65-8e85-b8608455f863,-1.409919746,1370.807203,1617001200.0,71.68489769,3.531684219,1624366800.0,30.25975294,1.616837287,2.198958159,10324134767.0,0.062194599,641399293.9
Celo,CELO,c7685660-2363-4570-b594-2e0ae6c9f8e4,-33.5255753,54.36415946,1618966800.0,67.28421484,3.056628459,1624366800.0,34.6268074,2.21699855,2.015535104,265980036.0,2.275745402,604922600.7
DeFiChain,DFI,8db9aa6b-215e-4cc1-b10f-f93a561a2d64,-11.67978257,21.7576106,1620630000.0,57.25795891,2.339616861,1626800400.0,9.011868661,0.87141696,1.062848791,300511840.0,1.951033215,586308581.4
HUSD,HUSD,1ef38d66-d8e7-4779-8175-2187ce256b6e,0.001113634,0.039596177,1543694400.0,1.803355725,1.018364739,1621429200.0,19.33483506,0.013452024,0.014276983,546268532.3,1.000079471,546215854.4
0x,ZRX,b611505b-c286-454e-8980-f6aabdbb354d,-8.06231284,69.02353974,1515513600.0,74.27284773,3.886943994,1584352800.0,403.5587831,1.329941628,1.706969484,845323730.6,0.641381233,542734630.5
Swissborg,CHSB,579a6fe4-e464-4cbb-8dcc-0c798103924a,-5.136934266,101.8208978,1620147600.0,67.35959784,3.063687743,1624366800.0,25.95570664,1.155306208,1.476586507,1000000000.0,0.539402424,539402424.0
Horizen,ZEN,e89db3b8-1653-4367-a4ea-3448bb299db1,-24.47684729,298.3148331,1620450000.0,71.80417721,3.546624645,1626771600.0,13.87331037,1.582074343,2.020649307,11320350.0,46.99698666,530864159.8
ECOMI,OMI,39976027-269a-44b9-a5cb-4f16723a7c2b,42.55005317,8397.570295,1616194800.0,75.38036693,4.06179896,1624366800.0,181.4793803,2.553207753,2.285674811,166000000000.0,0.003197316,530807157.0
Curve,CRV,0206fbbe-d7eb-422e-b94e-5033985e05d6,-16.54213525,126.5667044,1598983200.0,74.36824183,3.901410092,1603663200.0,322.1369252,1.400037745,1.87342409,376722737.0,1.404254614,528158208.7
Ontology,ONT,1ad933f7-16c8-42f3-953e-09a861a5f85f,-14.88597442,32.92583718,1525366800.0,94.81338257,19.28038868,1584061200.0,150.7585853,1.257457634,2.055774867,876894093.0,0.602389499,527695753.2
DigiByte,DGB,3e6d2d8e-b4c8-4738-837c-bc29d948fc7c,-20.07880512,35.73483162,1619827200.0,79.54054511,4.887715756,1626771600.0,10.64992901,1.230328259,1.666320469,14506674015.0,0.035912684,521584931.3
Qtum,QTUM,62b3d6ec-7ec4-438a-8b40-f6a38013057e,-25.08810637,132.9920597,1515286800.0,92.93824771,14.16079124,1584061200.0,534.0207582,1.604859858,2.252401903,98546676.73,5.290654958,521094050.4
Siacoin,SC,ea17223b-3317-44f2-ad05-a2640904b886,-21.2784302,201.9738331,1515258000.0,89.27370108,9.322880218,1584061200.0,1164.052699,1.29719122,1.690642297,48345412992.0,0.010261988,495980462.5
UMA,UMA,e46145b2-81b5-452f-928e-cb4ea5025228,-12.84913025,0.029009707,1612440000.0,81.04980324,5.276990063,1626771600.0,8.349912582,1.168722487,1.578112441,61940456.12,7.876616287,487715163.5
Revain,R,5bfa8800-793e-4305-b269-6fff640635b1,-27.32066325,-51.06564392,1518912000.0,99.86793736,757.216441,1626836400.0,1.211550904,1.193201997,3.404420681,85061485690.0,0.005730175,487417204.1
Ravencoin,RVN,e36183a0-816a-44c0-8787-9c5912e3beb7,-3.898487518,302.5916639,1613815200.0,81.08013556,5.285450132,1624366800.0,25.40425363,1.264003443,1.603025369,9250070000.0,0.052033462,480991888.4
OMG Network,OMG,e6a8644b-8637-46c5-9543-be3c106285bc,-18.56781638,32.21111734,1515376800.0,87.82000658,8.210185057,1584061200.0,828.6355907,1.318459531,2.094266358,140245398.2,3.37093972,472454445.6
ICON,ICX,33f132f1-62d1-495d-bee7-6c836ee21293,-11.24390713,58.91356698,1515531600.0,94.27022181,17.45268258,1578013200.0,567.8847776,1.298884605,1.711076669,639902087.1,0.718963344,459595390.8
Nano,NANO,2c72a501-65e1-4a91-94a0-c86ef350f779,-29.71651109,229.3732679,1519941600.0,80.32096964,5.081551184,1584352800.0,971.1832552,1.205889722,1.93441687,133248297.2,3.436804027,457592579.1
Fantom,FTM,cfa35809-44ce-40b6-93fa-4f1cdb61537d,-21.10687402,908.9103349,1620608400.0,81.17651153,5.312511554,1626750000.0,13.30682109,1.366606184,2.354570812,2545006273.0,0.174122771,443070765.3
Small Love Potion,SLP,0f786aa8-d0b9-47c2-9128-e14848af855a,60.98017299,4083.411404,1626739200.0,7.353508788,1.079371692,1626764400.0,37.44769889,4.251999464,5.060543978,541173609.0,0.760330828,411470978.1
Ankr Network,ANKR,998058d5-f705-448a-961a-50a6b922e0f5,-21.47408869,561.7957198,1618632000.0,71.02852825,3.451671384,1624366800.0,21.54606405,1.824211786,1.629547217,6996232711.0,0.058702653,410934240.7
Ethos,ETHOS,ab57bd65-b6b5-447c-9e1e-6bfb115e1ba1,-24.78924252,987.4815607,1515322800.0,84.14511388,6.307203928,1577336400.0,10505.34073,1.142237454,1.570111971,222295208.0,1.783193396,396395346.9
Neutrino Dollar,USDN,d6d39710-4fb4-47e9-93b0-a197e7146c9a,-0.1866422,13.71996938,1616637600.0,11.15337294,1.125535131,1616770800.0,45.45908979,0.117504956,0.248487636,397924953.2,0.995017411,395942256.6
renBTC,RENBTC,62429e31-4242-4e94-9923-1731dfc63f6b,-5.428842885,7.814763324,1618398000.0,50.90052729,2.03668175,1624694400.0,12.90035851,0.734909729,0.97218622,12401.18595,31674.67942,392803589.5
Perpetual Protocol,PERP,1d98737e-917a-47e0-9bea-322ff32660a8,0.431450023,549.1791875,1617804000.0,99.72920844,369.2877267,1624370400.0,104.3854547,2.497299598,2.255975468,43556738.66,7.502368177,326778690.0
1inch,1INCH,55a7b511-5d79-4a8f-ab38-487f8225b415,-23.26226517,59.16807877,1620504000.0,76.60499311,4.274416352,1626771600.0,11.20832137,1.340370028,1.899445678,180001226.5,1.784031873,321028773.1
Gemini Dollar,GUSD,f09f9526-cc4a-48f7-80a7-faac888da4b3,-0.399944936,-2.533909586,1542877200.0,58.95299148,2.436231131,1584064800.0,163.6708689,0.617628884,0.563168738,315439451.1,0.996090662,314206291.5
IOST,IOST,2a417224-d590-434a-af84-7e34d4b2f078,-13.017948,223.2501536,1516838400.0,85.53251205,6.912049996,1584061200.0,946.5197417,1.526482738,1.791321858,16454275775.0,0.018802406,309707401.0
Bitcoin Diamond,BCD,8ad4da12-8b88-410a-a96d-9d252c2e88f3,-18.26351924,251.8922732,1515859200.0,99.16529612,119.8029651,1584061200.0,450.3194708,1.023371845,2.641226976,186492898.0,1.636336903,304325921.7
The Sandbox,SAND,9e79e939-dc11-445e-91b9-1e0ec35180fd,69.06275044,1051.56411,1616943600.0,51.4064304,2.057885453,1624366800.0,184.4469635,2.427282203,2.425656322,702992326.2,0.428421413,301080100.9
Golem,GNT,0bb97d30-b5bb-45d6-b105-e49436cace0e,-1.717614579,148.6443871,1515398400.0,75.22987149,4.037120759,1584061200.0,1242.011593,1.191999457,1.415651895,1000000000.0,0.296632666,296632666.2
