,index,id,symbol,name,image,index,symbol,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,price_change_percentage_1y_in_currency,price_change_percentage_200d_in_currency,price_change_percentage_30d_in_currency
12,12,litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,12,ltc,138.16,9219264830,13,,2330982607.0,144.18,134.51,-5.575167384431,-3.87888,-343214884.960823,-3.58918,66752414.5153875,84000000.0,,410.26,-66.3359,2021-05-10T03:13:07.904Z,1.15,11921.69214,2015-01-14T00:00:00.000Z,2021-07-02T01:24:25.527Z,230.936013496712,68.3296428397218,-24.5664184992358
13,13,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/coinmarketcap-solana-200.png?1616489452,13,sol,33.76,9209194456,14,16505068247.0,661798207.0,35.53,32.39,-1.688241464417,-4.7629,-450288929.081347,-4.66163,272637122.50492,488630611.0,488630611.0,58.03,-41.76856,2021-05-18T16:59:08.690Z,0.500801,6647.97153,2020-05-11T19:35:23.449Z,2021-07-02T01:24:19.246Z,3955.14409386415,2054.86047584097,8.9467874288467
14,14,chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,14,link,18.4,8014072506,15,18401599767.0,837294007.0,19.37,17.67,-0.871916574242,-4.52493,-362383548.678613,-4.32622,435509553.917464,1000000000.0,1000000000.0,52.7,-65.04431,2021-05-10T00:13:57.214Z,0.148183,12330.86915,2017-11-29T00:00:00.000Z,2021-07-02T01:24:22.344Z,291.466998937085,42.3020681896727,-40.1550337501299
15,15,ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,15,etc,54.37,6975244284,16,,5358836321.0,58.62,52.49,-4.012750761418,-6.87339,-443752932.519496,-5.98131,128265408.874194,210700000.0,,167.09,-67.47847,2021-05-06T18:34:22.133Z,0.615038,8735.01749,2016-07-25T00:00:00.000Z,2021-07-02T01:24:35.438Z,851.699072296132,789.917642524185,-19.8800168082455
16,16,matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,16,matic,1.08,6841072362,17,10852949413.0,637359842.0,1.15,1.06,-0.062369152685,-5.43808,-375405577.259713,-5.20206,6303422325.0,10000000000.0,10000000000.0,2.62,-58.56902,2021-05-18T19:38:18.813Z,0.00314376,34434.0631,2019-05-10T00:00:00.000Z,2021-07-02T01:24:20.699Z,5699.04766133167,5874.66378184422,-40.5754761476174
17,17,wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,17,wbtc,33741.0,6605785795,18,6605785795.0,310723237.0,35112.0,32965.0,-1288.88327315131,-3.67933,-206765673.043521,-3.03507,195775.63453435,195775.63453435,195775.63453435,64565.0,-47.72681,2021-04-14T12:00:05.340Z,3139.17,975.13362,2019-04-02T00:00:00.000Z,2021-07-02T01:24:00.209Z,265.662795206558,76.0321572809902,-8.13430664223361
18,18,theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,18,theta,6.37,6366009999,19,,243469297.0,6.89,6.13,-0.518657453943,-7.53351,-498288608.313973,-7.25913,1000000000.0,1000000000.0,,15.72,-59.50316,2021-04-16T13:15:11.190Z,0.04039979,15657.47853,2020-03-13T02:24:16.483Z,2021-07-02T01:21:27.641Z,2770.67729336257,773.637256706471,-15.845221115646
19,19,internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,19,icp,46.35,6349151029,20,21761328152.0,471054585.0,50.73,44.56,-3.360340824404,-6.75941,-319821986.636152,-4.79567,136899213.55,469213710.0,469213710.0,700.65,-93.38422,2021-05-10T16:05:53.653Z,28.53,62.47851,2021-06-26T09:17:59.599Z,2021-07-02T01:24:38.768Z,,,-56.9266738167096
20,20,stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,20,xlm,0.271973,6318400065,21,13601892216.0,370227654.0,0.282959,0.260943,-0.009926456117,-3.52128,-187440374.541376,-2.88111,23227018026.7041,50001803060.5368,50001803060.5368,0.875563,-68.90134,2018-01-03T00:00:00.000Z,0.00047612,57088.61008,2015-03-05T00:00:00.000Z,2021-07-02T01:24:34.268Z,297.383609461932,55.6851477574093,-35.8961198250597
21,21,vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,21,vet,0.086093,5618648277,22,,752733949.0,0.091016,0.083068,-0.004923279473,-5.40924,-306263305.891964,-5.16908,65241752869.0,86712634466.0,,0.280991,-69.27273,2021-04-19T01:08:21.675Z,0.00191713,4403.64614,2020-03-13T02:29:59.652Z,2021-07-02T01:24:16.555Z,816.21155438754,424.126661593676,-29.5126456142708
22,22,dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/dai-multi-collateral-mcd.png?1574218774,22,dai,1.0,5179805166,23,5179805166.0,517418234.0,1.01,0.992614,0.00166752,0.16627,13049075.0,0.25256,5156166594.3633,5156166594.3633,5156166594.3633,1.22,-17.58476,2020-03-13T03:02:50.373Z,0.903243,11.21973,2019-11-25T00:04:18.137Z,2021-07-02T01:05:26.000Z,-0.956580163188481,0.127106888053745,0.141379029834216
23,23,filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,23,fil,56.99,4809413817,24,112441336261.0,477269455.0,60.27,55.3,-2.981737702282,-4.97226,-226585828.320255,-4.49932,84396747.0,1973147533.0,1973147533.0,236.84,-75.93761,2021-04-01T13:29:41.564Z,20.06,184.10067,2020-12-29T22:32:28.483Z,2021-07-02T01:24:42.634Z,,89.4498262452091,-17.7904327929477
24,24,tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,24,trx,0.065122,4666892177,25,,1332501694.0,0.068101,0.063877,-0.002648048735,-3.9074,-188265221.461641,-3.87763,71660220128.0,100850743812.0,,0.231673,-71.87153,2018-01-05T00:00:00.000Z,0.00180434,3511.62209,2017-11-12T00:00:00.000Z,2021-07-02T01:24:35.758Z,285.991784207512,123.180004842925,-14.5072711052801
25,25,shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,25,shib,8.4e-06,4179735065,26,,462532609.0,8.74e-06,8.21e-06,-3.2842e-07,-3.7637,-152398712.138158,-3.51787,497730966630396.0,1000000000000000.0,,3.791e-05,-77.84997,2021-05-10T22:53:42.945Z,5.6e-11,14898021.12256,2020-11-28T11:26:25.838Z,2021-07-02T01:24:39.017Z,,13832861.9869622,-5.41035346000784
26,26,eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,26,eos,3.97,3815411178,27,,1408212154.0,4.17,3.85,-0.165677605537,-4.01041,-136502009.304173,-3.45407,959905289.0217,,,22.71,-82.49693,2018-04-29T07:50:33.540Z,0.5024,691.23601,2017-10-23T00:00:00.000Z,2021-07-02T01:24:36.157Z,66.7727395044415,39.2927271778079,-37.1840109698622
27,27,monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,27,xmr,209.0,3750376462,28,,190682276.0,221.07,204.09,-11.365709661731,-5.15765,-187706134.178473,-4.76643,17943840.481688,,,542.33,-61.44459,2018-01-09T00:00:00.000Z,0.216177,96624.51826,2015-01-14T00:00:00.000Z,2021-07-02T01:24:38.009Z,223.677648880442,37.6740264796041,-21.4365292557428
28,28,cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,28,atom,11.35,3124549781,29,,429891140.0,11.91,10.77,-0.524098131361,-4.41315,-123329407.174715,-3.79723,275253911.386401,,,31.7,-64.44141,2021-05-07T16:18:33.469Z,1.16,871.74054,2020-03-13T02:27:44.591Z,2021-07-02T01:24:19.313Z,326.694135820917,118.985295700327,-17.3252921364796
29,29,aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,29,aave,233.25,2992523362,30,3731987893.0,296049897.0,251.62,227.72,-16.877119083592,-6.74745,-210695473.413168,-6.57762,12829723.7739136,16000000.0,16000000.0,661.69,-64.73876,2021-05-18T21:19:59.514Z,26.02,796.58683,2020-11-05T09:20:11.928Z,2021-07-02T01:24:33.693Z,,179.245115896389,-37.5263596331168
30,30,crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,30,cro,0.113409,2865054686,31,,66189717.0,0.117985,0.1113,-0.003704109313,-3.16284,-65380266.7191396,-2.23108,25263013692.0,30263013692.0,,0.27702,-59.0505,2021-02-22T11:33:57.751Z,0.0121196,835.99077,2019-02-08T00:00:00.000Z,2021-07-02T01:24:30.090Z,-10.0417397888025,87.3592598663771,-8.8758212611447
31,31,okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,31,okb,10.44,2793310963,32,,313011754.0,11.04,10.13,-0.584579280432,-5.30022,-132797199.492252,-4.53836,267436117.72,300000000.0,,44.01,-76.25641,2021-05-03T01:03:16.108Z,0.580608,1699.56839,2019-01-14T00:00:00.000Z,2021-07-02T01:24:02.607Z,106.526667128316,85.5855732006946,-22.2556537504342
32,32,bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,32,bsv,145.82,2738283379,33,,671929034.0,149.16,138.25,0.02790042,0.01914,7976997.0,0.29216,18775714.144239,21000000.0,,489.75,-70.2119,2021-04-16T17:09:04.630Z,42.02,247.20805,2018-11-23T00:00:00.000Z,2021-07-02T01:24:14.847Z,-7.88510860549431,-13.5216700842176,-17.0536519665907
33,33,amp-token,amp,Amp,https://assets.coingecko.com/coins/images/12409/large/amp-200x200.png?1599625397,33,amp,0.05642,2708962831,34,5598318820.0,17567103.0,0.058643,0.055902,-0.002000195305,-3.42379,-95551241.8273764,-3.40705,48013928909.1577,99225180979.8304,99225164238.5015,0.120813,-53.28504,2021-06-16T16:03:41.147Z,0.00250501,2152.98553,2020-11-04T13:18:12.191Z,2021-07-02T01:23:17.654Z,,765.029322873551,51.6696810925447
34,34,algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,34,algo,0.843083,2619789165,35,8431061685.0,214040347.0,0.882522,0.81082,-0.037042747438,-4.2088,-101573204.060941,-3.73244,3107306366.29038,10000000000.0,10000000000.0,3.56,-76.31957,2019-06-20T14:51:19.480Z,0.105336,700.58141,2020-03-13T02:20:48.438Z,2021-07-02T01:24:19.412Z,295.865761854872,173.37730013832,-6.10327260171326
35,35,compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,35,cusdc,0.02211712,2534919712,36,,71096760.0,0.02237869,0.02182833,-4.7823449e-05,-0.21576,92585006.0,3.79084,114613449251.832,114613449251.832,,0.058843,-62.4136,2020-10-21T11:24:27.820Z,0.00620705,256.32236,2021-03-04T08:11:37.438Z,2021-07-02T01:16:16.942Z,5.03754537745965,3.78334736463003,0.557047672109267
36,36,celsius-degree-token,cel,Celsius Network,https://assets.coingecko.com/coins/images/3263/large/CEL_logo.png?1609598753,36,cel,5.97,2525210918,37,,14171716.0,6.28,5.82,-0.300396143585,-4.7895,-125032799.869397,-4.71778,423415980.3475,695658160.9671,,8.05,-25.88667,2021-06-04T00:04:12.584Z,0.02620268,22660.65252,2018-12-07T00:00:00.000Z,2021-07-02T01:23:51.571Z,1249.65724601021,159.114607268168,-17.0690157933776
37,37,terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,37,luna,6.03,2519260616,38,,143716176.0,6.47,5.74,-0.434011816544,-6.71773,-174024071.26782,-6.46141,418017891.845247,995484580.996473,,22.36,-73.03492,2021-03-21T11:59:15.174Z,0.121798,4849.658,2020-03-18T17:03:01.083Z,2021-07-02T01:22:26.039Z,2802.07990162666,1156.6289610863,-3.82347064247259
38,38,compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,38,ceth,42.71,2475653317,39,,17588958.0,45.49,41.9,-2.716943565863,-5.98089,-163686706.213907,-6.2018,57964099.511301,57964099.511301,,87.15,-50.99008,2021-05-12T14:49:23.076Z,1.89,2164.24124,2020-03-13T02:22:33.711Z,2021-07-02T01:16:16.422Z,824.102546330376,261.161073417142,-18.7844656597136
39,39,tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,39,xtz,2.94,2463178369,40,,75599680.0,3.06,2.85,-0.112109895593,-3.66946,-77956477.626606,-3.06778,836834083.504452,,,8.27,-64.37619,2021-05-07T02:09:26.683Z,0.350476,740.21574,2018-12-07T00:00:00.000Z,2021-07-02T01:24:19.052Z,22.7551671874317,32.1737973887096,-20.0826388959879
40,40,pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/IMG_0440.PNG?1602654093,40,cake,12.94,2451108410,41,,145016578.0,13.79,12.63,-0.834633742163,-6.06029,-146818594.194021,-5.65137,189456924.106941,,,43.96,-70.57732,2021-04-30T10:08:22.934Z,0.194441,6552.7101,2020-11-03T14:29:34.165Z,2021-07-02T01:24:15.831Z,,2606.75705085107,-27.1460092248955
41,41,neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,41,neo,34.57,2441306150,42,,339591299.0,36.13,33.41,-1.431373271092,-3.97547,-87846741.6951566,-3.47337,70530000.0,100000000.0,,198.38,-82.55018,2018-01-15T00:00:00.000Z,0.078349,44083.10159,2016-10-21T00:00:00.000Z,2021-07-02T01:24:29.312Z,240.591788311994,100.220192116391,-35.9641425320172
42,42,cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,42,cdai,0.0215579,2438612226,43,,10690108.0,0.02181369,0.02105439,-5.6624539e-05,-0.26197,-23080816.9369502,-0.9376,113119192586.974,113119192586.974,,0.03159087,-31.75907,2020-10-12T21:29:00.007Z,0.00728854,195.77788,2020-03-18T04:29:40.819Z,2021-07-02T01:16:16.412Z,3.84045483220503,3.26473930619817,0.552368313744227
43,43,klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,43,klay,0.976975,2425616166,44,,13298632.0,1.04,0.959974,-0.065688471282,-6.30007,-163382025.449183,-6.31063,2481919873.2,,,4.34,-77.47558,2021-03-30T03:44:28.828Z,0.06044,1517.01169,2020-04-29T08:19:34.574Z,2021-07-02T01:24:13.436Z,527.294651959119,88.553844480492,-29.5007796970886
44,44,maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,44,mkr,2541.65,2293111662,45,2558384931.0,219672227.0,2829.78,2481.17,-134.690272866537,-5.03262,-106841591.078758,-4.45182,901310.947289313,991339.552272522,1005577.0,6292.31,-59.55534,2021-05-03T21:54:29.333Z,168.36,1411.60738,2020-03-16T20:52:36.527Z,2021-07-02T01:24:36.464Z,469.810905918664,383.536555517011,-29.3074041307197
45,45,ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,45,ftt,26.34,2287461145,46,8897005136.0,32699223.0,27.56,25.68,-1.113252025806,-4.05488,-94325735.7532706,-3.96029,86823042.8313512,337695378.898579,337695378.898579,63.12,-58.24706,2021-05-12T03:59:29.290Z,1.15,2192.15316,2019-09-06T00:00:00.000Z,2021-07-02T01:23:52.655Z,798.545804931644,490.813915696652,-22.001992917573
46,46,leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,46,leo,2.38,2257687407,47,,891371.0,2.54,2.38,-0.119662515712,-4.79158,-116063041.841661,-4.88944,950210085.9,985239504.0,,3.95,-39.69878,2021-05-14T13:54:31.192Z,0.799859,197.42233,2019-12-24T15:14:35.376Z,2021-07-02T01:23:46.502Z,89.5636148036327,74.7122952566303,-10.6836068766036
47,47,iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,47,miota,0.806463,2242626879,48,,35797296.0,0.8446,0.772879,-0.035836381095,-4.25459,-89546248.3322406,-3.83961,2779530283.27776,2779530283.0,,5.25,-84.62811,2017-12-19T00:00:00.000Z,0.081637,888.31774,2020-03-13T02:22:41.168Z,2021-07-02T01:24:38.823Z,250.72085998154,168.668453224167,-27.6096270479949
48,48,theta-fuel,tfuel,Theta Fuel,https://assets.coingecko.com/coins/images/8029/large/1_0YusgngOrriVg4ZYx4wOFQ.png?1553483622,48,tfuel,0.382359,2026971316,49,,115707166.0,0.411336,0.370701,-0.026731153164,-6.53429,-140088915.105063,-6.46447,5301219200.0,5301200000.0,,0.68159,-43.90186,2021-06-09T06:50:55.818Z,0.00090804,42008.24745,2020-03-13T02:30:37.972Z,2021-07-02T01:21:23.039Z,4552.72371561838,2664.96247358458,3.07243040221608
49,49,avalanche-2,AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,49,AVAX,11.26,1940537455,50,8103478980.0,42246476.0,11.98,11.02,-0.712363682743,-5.95234,-115470518.629586,-5.61625,172418164.000451,377752194.469548,720000000.0,59.4,-81.05386,2021-02-10T22:23:34.616Z,2.8,301.79959,2020-12-31T13:15:21.540Z,2021-07-02T01:24:39.784Z,,238.743005560066,-36.8359056854805
50,50,terrausd,ust,TerraUSD,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,50,ust,1.0,1909453692,51,,42362784.0,1.01,0.985719,-0.00373361497,-0.3713,-6275372.8803699,-0.32757,1905966013.15602,1906383891.65771,,1.09,-8.24949,2021-01-11T22:30:57.984Z,0.857992,16.76451,2021-05-19T13:14:26.898Z,2021-07-02T01:24:00.414Z,,0.56784788112217,-0.032248132614792
51,51,safemoon,safemoon,SafeMoon,https://assets.coingecko.com/coins/images/14362/large/174x174-white.png?1617174846,51,safemoon,3.27e-06,1901950425,52,,18492517.0,3.53e-06,3.24e-06,-2.58104e-07,-7.31428,-116729473.204332,-5.78247,580656987260188.0,1000000000000000.0,,1.094e-05,-70.11305,2021-05-11T20:32:53.513Z,4.436e-08,7273.08659,2021-03-14T19:51:56.741Z,2021-07-02T01:22:05.824Z,,,-19.4197139313753
52,52,hedera-hashgraph,hbar,Hedera Hashgraph,https://assets.coingecko.com/coins/images/3688/large/mqTDGK7Q.png?1566256777,52,hbar,0.206161,1848621969,53,,184051114.0,0.214928,0.184254,0.01212284,6.24766,118836277.0,6.87,8950166433.0,50000000000.0,,0.448365,-53.78958,2021-03-15T01:53:34.974Z,0.00986111,2001.096,2020-01-02T17:30:24.852Z,2021-07-02T01:24:14.263Z,430.855159195926,490.599603144869,-9.14287057584898
53,53,compound-governance-token,comp,Compound,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425,53,comp,339.19,1819665289,54,3394447164.0,287716136.0,354.49,321.27,-7.586790525596,-2.18783,-34268651.2726135,-1.84843,5360711.77620859,10000000.0,10000000.0,910.54,-62.71328,2021-05-12T02:29:08.794Z,61.32,453.65437,2020-06-18T12:54:32.788Z,2021-07-02T01:24:19.079Z,69.0093619535892,130.797040030408,-20.6080938925596
54,54,kusama,ksm,Kusama,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,54,ksm,202.32,1817203720,55,2023590060.0,209645896.0,212.16,194.72,-9.336021339383,-4.41099,-73398947.997874,-3.8823,8980098.07411234,10000000.0,10000000.0,621.71,-67.39251,2021-05-18T05:04:41.858Z,0.876572,23026.71764,2020-01-14T19:20:20.768Z,2021-07-02T01:24:42.258Z,2616.26770296023,299.602312653827,-45.0061326530655
55,55,huobi-token,ht,Huobi Token,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,55,ht,10.52,1796044172,56,5260679099.0,995337935.0,10.87,10.25,-0.332243221842,-3.06114,-51402156.6138246,-2.78234,170704593.254412,500000000.0,500000000.0,39.66,-73.46488,2021-05-12T14:42:21.586Z,0.90862,1058.24369,2019-01-30T00:00:00.000Z,2021-07-02T01:24:30.612Z,154.076545556283,164.391016383248,-33.135680867864
56,56,decred,dcr,Decred,https://assets.coingecko.com/coins/images/329/large/decred.png?1547034093,56,dcr,136.22,1783248029,57,,28803191.0,142.72,131.61,-5.611801276155,-3.95668,-63903353.1624784,-3.45956,13077748.9443924,21000000.0,,247.35,-45.08432,2021-04-17T00:41:14.790Z,0.43154,31376.71236,2016-12-26T00:00:00.000Z,2021-07-02T01:24:05.844Z,858.086473617051,409.022842405352,-15.993303647644
57,57,bittorrent-2,btt,BitTorrent,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,57,btt,0.00265512,1749899281,58,,291281773.0,0.00280549,0.00260525,-0.000143273744,-5.11985,-80933199.2843587,-4.42057,659071882049.0,990000000000.0,,0.01356626,-80.4202,2021-04-05T04:09:06.433Z,0.00013814,1822.8258,2020-03-13T02:22:57.629Z,2021-07-02T01:24:39.420Z,713.445807907177,729.592280064123,-30.0579507432613
